Courant_admissible_du_conducteur,Min,Max,Fusible,Sectionneur
0 à 15,0,15,15,30
16 à 20,16,20,20,30
21 à 25,21,25,25,30
26 à 30,26,30,30,30
31 à 35,31,35,35,60
36 à 40,36,40,40,60
41 à 45,41,45,45,60
46 à 50,46,50,50,60
51 à 60,51,60,60,60
61 à 70,61,70,70,100
71 à 80,71,80,80,100
81 à 90,81,90,90,100
91 à 100,91,100,100,100
101 à 110,101,110,110,200
111 à 125,111,125,125,200
126 à 150,126,150,150,200
151 à 175,151,175,175,200
176 à 200,176,200,200,200
201 à 225,201,225,225,400
226 à 250,226,250,250,400
251 à 275,251,275,300,400
276 à 300,276,300,300,400
301 à 325,301,325,350,400
326 à 350,326,350,350,400
351 à 400,351,400,400,400
401 à 450,401,450,450,600
451 à 500,451,500,500,600
501 à 525,501,525,600,600
526 à 550,526,550,600,600
551 à 600,551,600,600,600
